time_s,targetspeed_kph,cycleDistance_m,HaulTruck_speed_kph,HaulTruck_distance_m,HaulTruck_elevation_m,HaulTruck_trackgrade_perc,HaulTruck_heading_deg,HaulTruck_throttle_perc,HaulTruck_battery_soc_perc,HaulTruck_battery_power_kW,HaulTruck_payloadpresent
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,105.26315789473684,1.0
1.0000000000000004,0.0,-0.00042442419043112086,0.009645546868362656,-0.0004737051690485872,0.0,0.0,0.0,0.4776355797286952,94.99961951952274,105.27942466583868,1.0
2.0000000000000013,0.0,-0.00031617761469110596,0.009584130915539644,-0.0003657478299437074,0.0,0.0,0.0,0.4724657810293599,94.99925363947095,105.27917965208209,1.0
3.000000000000002,0.0,-0.00024094515554379985,0.009467834185880798,-0.00029116638111818425,0.0,0.0,0.0,0.4729550096099689,94.99888776075586,105.27899872253815,1.0
4.000000000000003,0.0,-0.00019242497155671495,0.00939199570395994,-0.00024307115855544284,0.0,0.0,0.0,0.473316806404543,94.99852188293775,105.27888165854874,1.0
4.999999999999981,0.0,-0.00016117522047605023,0.009343141225971617,-0.00021209516905150175,0.0,0.0,0.0,0.47355038935077176,94.99815600569808,105.27880615608576,1.0
5.99999999999996,0.0,-0.0001410491295986293,0.009311676861417949,-0.0001921453923526081,0.0,0.0,0.0,0.473700833035197,94.99779012883089,105.27875748596477,1.0
6.999999999999939,0.0,-0.00012808712764357923,0.009291412559321909,-0.00017929694374124383,0.0,0.0,0.0,0.4737977248283509,94.99742425220359,105.27872612243502,1.0
7.999999999999917,0.0,-0.00011973908359791727,0.009278361543955645,-0.00017102203255880727,0.0,0.0,0.0,0.47386012699224406,94.99705837573087,105.27870591559419,1.0
8.999999999999897,0.0,-0.00011436261169044386,0.009269956171739285,-0.00016569266111971992,0.0,0.0,0.0,0.47390031646410435,94.9966924993577,105.27869289848272,1.0
9.999999999999876,0.0,-0.00011089995025578421,0.009264542778213126,-0.00016226033425729324,0.0,0.0,0.0,0.47392620008010616,94.99632662304859,105.27868451365867,1.0
10.999999999999854,0.0,-0.00010866985877248102,0.009261056337789706,-0.00016004977944324367,0.0,0.0,0.0,0.4739428701567773,94.99596074678078,105.27867911296505,1.0
11.999999999999833,0.0,-0.00010723359128928965,0.009258810931693267,-0.00015862609435094924,0.0,0.0,0.0,0.4739536063482046,94.99559487053959,105.27867563448238,1.0
12.999999999999812,0.0,-0.00010630857798884044,0.009257364800990993,-0.0001577091846099466,0.0,0.0,0.0,0.4739605208818714,94.99522899431551,105.27867339410955,1.0
13.99999999999979,0.0,-0.00010571283268650584,0.009256433435385751,-0.00015711865832172784,0.0,0.0,0.0,0.47396497411616245,94.99486311810246,105.27867195118236,1.0
14.999999999999769,0.0,-0.00010532914905181406,0.009255833598946819,-0.00015673833593939966,0.0,0.0,0.0,0.4739678421759072,94.99449724189654,105.27867102186414,1.0
15.999999999999748,0.0,-0.00010508204155310242,0.009255447280457699,-0.000156493393220702,0.0,0.0,0.0,0.4739696893202867,94.99413136569515,105.27867042333973,1.0
16.999999999999726,0.0,-0.00010492289451007339,0.009255198476008093,-0.00015633564038197608,0.0,0.0,0.0,0.4739708789546264,94.99376548949671,105.27867003786353,1.0
17.999999999999705,0.0,-0.00010482039749384704,0.00925503823606129,-0.00015623404128869167,0.0,0.0,0.0,0.47397164512638734,94.99339961330016,105.27866978960041,1.0
18.999999999999684,0.0,-0.00010475438534473581,0.009254935035171616,-0.00015616860743761606,0.0,0.0,0.0,0.47397213857143067,94.99303373710487,105.27866962970865,1.0
19.999999999999662,0.0,-0.00010471187089903954,0.009254868569700068,-0.0001561264654388217,0.0,0.0,0.0,0.47397245636963464,94.9926678609103,105.2786695267318,1.0
20.99999999999964,0.0,-0.00010468448990755204,0.00925482576329672,-0.00015609932431793076,0.0,0.0,0.0,0.47397266104429947,94.99230198471633,105.27866946041054,1.0
21.99999999999962,0.0,-0.00010466685546160077,0.009254798194272898,-0.00015608184435817019,0.0,0.0,0.0,0.47397279286291294,94.9919361085225,105.27866941769697,1.0
22.9999999999996,0.0,-0.00010465549817805685,0.009254780438726668,-0.0001560705865698684,0.0,0.0,0.0,0.47397287775933444,94.9915702323291,105.27866939018774,1.0
23.999999999999577,0.0,-0.0001046481836363998,0.009254769003449724,-0.00015606333610709882,0.0,0.0,0.0,0.473972932436002,94.99120435613591,105.2786693724707,1.0
24.999999999999556,0.0,-0.00010464347278107711,0.009254761638677222,-0.00015605866652112452,0.0,0.0,0.0,0.4739729676499475,94.99083847994272,105.27866936106021,1.0
25.999999999999535,0.0,-0.00010464043880315676,0.009254756895471242,-0.00015605565912230353,0.0,0.0,0.0,0.4739729903291268,94.99047260374955,105.27866935371141,1.0
26.999999999999513,0.0,-0.00010463848480088196,0.00925475384065822,-0.00015605372223802426,0.0,0.0,0.0,0.4739730049354186,94.99010672755638,105.27866934897847,1.0
27.999999999999492,0.0,-0.00010463722634581284,0.009254751873237306,-0.00015605247480762416,0.0,0.0,0.0,0.4739730143424506,94.9897408513632,105.2786693459303,1.0
28.99999999999947,0.0,-0.00010463641585077065,0.009254750606140097,-0.00015605167141290665,0.0,0.0,0.0,0.4739730204009532,94.98937497517002,105.27866934396714,1.0
29.99999999999945,0.0,-0.00010463589385977492,0.009254749790079182,-0.00015605115399480198,0.0,0.0,0.0,0.4739730243028692,94.98900909897684,105.27866934270278,1.0
